season,team,conference,games,w,l,t,ba,ob_pct,slg_pct,ab,r,h,x2b,x3b,tb,hr,ibb,bb,hbp,rbi,sf,sh,k,kl,dp,gdp,tp,sb,sba,cs,picked,go,fo,opponent_ba,opponent_ob_pct,opponent_slg_pct,opponent_ab,opponent_r,opponent_h,opponent_2b,opponent_3b,opponent_tb,opponent_hr,opponent_ibb,opponent_bb,opponent_hbp,opponent_rbi,opponent_sf,opponent_sh,opponent_k,opponent_kl,opponent_dp,opponent_gdp,opponent_tp,opponent_sb,opponent_sba,opponent_cs,opponent_picked,opponent_go,opponent_fo
2025,St. Thomas (MN),Summit League,50,33,17,0,0.319,0.414,0.498,1342,296,428,80,14,668,44,2,200,27,273,15,20,238,80,16,9,0,49,63,14,0,303,374,0.276,0.349,0.381,1288,177,355,47,10,491,23,0,125,25,167,7,17,218,57,23,8,0,26,29,3,0,454,251
2025,N.C. Central,MEAC,46,13,33,0,0.267,0.325,0.351,1144,168,305,51,11,402,8,0,89,15,138,9,26,229,51,9,3,0,66,74,8,0,316,288,0.316,0.405,0.477,1186,353,375,65,12,566,34,0,180,13,291,25,23,166,33,9,2,0,120,134,14,0,360,247
2025,NC State,ACC,54,25,29,0,0.268,0.351,0.462,1390,252,372,56,5,642,68,3,163,20,237,9,8,233,62,26,12,0,46,50,4,0,289,468,0.262,0.345,0.399,1403,241,368,53,5,560,43,0,147,34,218,7,16,249,53,23,12,0,55,58,3,0,386,368
2025,North Dakota St.,Summit League,50,19,31,0,0.25,0.329,0.338,1218,173,305,44,12,412,13,0,128,22,156,15,24,166,59,17,5,0,43,52,9,0,388,349,0.345,0.414,0.503,1287,271,444,72,15,648,34,0,145,17,252,15,21,140,36,25,12,0,60,70,10,0,384,323
2025,North Dakota,Summit League,53,23,30,0,0.254,0.34,0.362,1439,225,365,76,4,521,24,0,163,34,208,16,10,339,79,20,8,0,14,23,9,0,340,385,0.276,0.392,0.418,1389,259,383,68,12,580,35,2,245,27,230,11,33,301,60,29,7,0,70,88,18,0,390,320
2025,North Texas,The American,57,36,21,0,0.307,0.399,0.478,1482,342,455,75,8,708,54,0,209,33,298,24,29,184,64,24,4,0,73,96,23,0,352,493,0.252,0.361,0.382,1415,259,357,73,7,540,32,0,225,27,218,21,26,202,51,31,9,0,39,53,14,0,492,357
2025,ULM,Sun Belt,57,35,22,0,0.332,0.404,0.477,1506,343,500,81,12,719,38,0,166,29,294,18,56,170,40,21,10,0,87,99,12,0,442,421,0.285,0.385,0.416,1422,270,405,61,13,591,33,2,208,32,247,13,30,208,57,29,18,1,45,56,11,0,433,386
2025,Northern Colo.,Big Sky,49,19,30,0,0.295,0.392,0.478,1277,266,377,70,4,611,52,0,169,44,246,15,6,190,52,15,6,0,44,52,8,0,324,370,0.346,0.419,0.553,1278,325,442,85,6,707,56,0,152,26,298,23,22,127,42,19,14,0,56,67,11,0,313,404
2025,NIU,MAC,51,21,30,0,0.274,0.33,0.369,1378,193,377,59,9,508,18,1,99,22,177,12,43,198,46,9,4,0,31,40,9,0,430,369,0.302,0.378,0.455,1359,239,411,85,4,618,38,0,150,27,221,19,24,197,47,14,3,0,52,69,17,0,320,429
2025,UNI,MVC,50,32,18,0,0.291,0.403,0.516,1369,321,398,65,3,706,79,0,244,22,301,12,7,265,66,13,1,0,94,111,17,0,294,378,0.31,0.364,0.467,1440,265,447,67,7,672,48,0,118,14,252,18,18,172,54,20,4,0,22,26,4,0,464,340
